t,r,y,u
0.000000,1.000000,0.010050,1.005000
0.010000,1.000000,0.019446,0.949650
0.020000,1.000000,0.028485,0.923302
0.030000,1.000000,0.037300,0.909980
0.040000,1.000000,0.045952,0.902527
0.050000,1.000000,0.054470,0.897732
0.060000,1.000000,0.062866,0.894158
0.070000,1.000000,0.071149,0.891159
0.080000,1.000000,0.079322,0.888447
0.090000,1.000000,0.087388,0.885890
0.100000,1.000000,0.095348,0.883430
0.110000,1.000000,0.103205,0.881041
0.120000,1.000000,0.110960,0.878709
0.130000,1.000000,0.118615,0.876429
0.140000,1.000000,0.126171,0.874198
0.150000,1.000000,0.133629,0.872014
0.160000,1.000000,0.140992,0.869876
0.170000,1.000000,0.148260,0.867783
0.180000,1.000000,0.155434,0.865733
0.190000,1.000000,0.162517,0.863727
0.200000,1.000000,0.169510,0.861764
0.210000,1.000000,0.176413,0.859842
0.220000,1.000000,0.183229,0.857961
0.230000,1.000000,0.189958,0.856121
0.240000,1.000000,0.196601,0.854321
0.250000,1.000000,0.203161,0.852560
0.260000,1.000000,0.209638,0.850838
0.270000,1.000000,0.216033,0.849154
0.280000,1.000000,0.222348,0.847507
0.290000,1.000000,0.228583,0.845897
0.300000,1.000000,0.234740,0.844323
0.310000,1.000000,0.240821,0.842784
0.320000,1.000000,0.246825,0.841281
0.330000,1.000000,0.252755,0.839812
0.340000,1.000000,0.258612,0.838377
0.350000,1.000000,0.264395,0.836975
0.360000,1.000000,0.270107,0.835606
0.370000,1.000000,0.275749,0.834269
0.380000,1.000000,0.281321,0.832964
0.390000,1.000000,0.286825,0.831691
0.400000,1.000000,0.292261,0.830448
0.410000,1.000000,0.297631,0.829235
0.420000,1.000000,0.302935,0.828052
0.430000,1.000000,0.308175,0.826898
0.440000,1.000000,0.313351,0.825773
0.450000,1.000000,0.318464,0.824676
0.460000,1.000000,0.323515,0.823607
0.470000,1.000000,0.328506,0.822565
0.480000,1.000000,0.333436,0.821551
0.490000,1.000000,0.338307,0.820563
0.500000,1.000000,0.343120,0.819600
0.510000,1.000000,0.347876,0.818664
0.520000,1.000000,0.352575,0.817753
0.530000,1.000000,0.357217,0.816866
0.540000,1.000000,0.361805,0.816004
0.550000,1.000000,0.366339,0.815166
0.560000,1.000000,0.370819,0.814351
0.570000,1.000000,0.375246,0.813559
0.580000,1.000000,0.379622,0.812791
0.590000,1.000000,0.383946,0.812044
0.600000,1.000000,0.388220,0.811320
0.610000,1.000000,0.392444,0.810618
0.620000,1.000000,0.396619,0.809936
0.630000,1.000000,0.400745,0.809276
0.640000,1.000000,0.404824,0.808636
0.650000,1.000000,0.408856,0.808017
0.660000,1.000000,0.412842,0.807418
0.670000,1.000000,0.416782,0.806838
0.680000,1.000000,0.420677,0.806277
0.690000,1.000000,0.424527,0.805735
0.700000,1.000000,0.428334,0.805212
0.710000,1.000000,0.432098,0.804708
0.720000,1.000000,0.435819,0.804221
0.730000,1.000000,0.439498,0.803752
0.740000,1.000000,0.443136,0.803300
0.750000,1.000000,0.446734,0.802866
0.760000,1.000000,0.450291,0.802448
0.770000,1.000000,0.453808,0.802046
0.780000,1.000000,0.457287,0.801661
0.790000,1.000000,0.460727,0.801292
0.800000,1.000000,0.464129,0.800939
0.810000,1.000000,0.467494,0.800601
0.820000,1.000000,0.470822,0.800278
0.830000,1.000000,0.474113,0.799971
0.840000,1.000000,0.477369,0.799677
0.850000,1.000000,0.480589,0.799398
0.860000,1.000000,0.483775,0.799134
0.870000,1.000000,0.486926,0.798883
0.880000,1.000000,0.490043,0.798646
0.890000,1.000000,0.493127,0.798422
0.900000,1.000000,0.496178,0.798212
0.910000,1.000000,0.499196,0.798014
0.920000,1.000000,0.502182,0.797829
0.930000,1.000000,0.505137,0.797657
0.940000,1.000000,0.508061,0.797497
0.950000,1.000000,0.510953,0.797349
0.960000,1.000000,0.513816,0.797213
0.970000,1.000000,0.516649,0.797088
0.980000,1.000000,0.519452,0.796975
0.990000,1.000000,0.522226,0.796874
1.000000,1.000000,0.524972,0.796783
1.010000,1.000000,0.527689,0.796703
1.020000,1.000000,0.530379,0.796634
1.030000,1.000000,0.533041,0.796575
1.040000,1.000000,0.535675,0.796527
1.050000,1.000000,0.538284,0.796488
1.060000,1.000000,0.540865,0.796460
1.070000,1.000000,0.543421,0.796441
1.080000,1.000000,0.545951,0.796432
1.090000,1.000000,0.548456,0.796432
1.100000,1.000000,0.550936,0.796442
1.110000,1.000000,0.553391,0.796460
1.120000,1.000000,0.555822,0.796487
1.130000,1.000000,0.558229,0.796524
1.140000,1.000000,0.560612,0.796568
1.150000,1.000000,0.562973,0.796621
1.160000,1.000000,0.565310,0.796683
1.170000,1.000000,0.567624,0.796752
1.180000,1.000000,0.569916,0.796829
1.190000,1.000000,0.572186,0.796915
1.200000,1.000000,0.574434,0.797007
1.210000,1.000000,0.576661,0.797108
1.220000,1.000000,0.578867,0.797216
1.230000,1.000000,0.581051,0.797331
1.240000,1.000000,0.583215,0.797453
1.250000,1.000000,0.585359,0.797582
1.260000,1.000000,0.587482,0.797717
1.270000,1.000000,0.589586,0.797860
1.280000,1.000000,0.591670,0.798009
1.290000,1.000000,0.593735,0.798165
1.300000,1.000000,0.595781,0.798327
1.310000,1.000000,0.597808,0.798495
1.320000,1.000000,0.599817,0.798669
1.330000,1.000000,0.601807,0.798849
1.340000,1.000000,0.603780,0.799035
1.350000,1.000000,0.605734,0.799227
1.360000,1.000000,0.607671,0.799424
1.370000,1.000000,0.609591,0.799627
1.380000,1.000000,0.611493,0.799835
1.390000,1.000000,0.613379,0.800049
1.400000,1.000000,0.615247,0.800267
1.410000,1.000000,0.617100,0.800491
1.420000,1.000000,0.618936,0.800720
1.430000,1.000000,0.620756,0.800954
1.440000,1.000000,0.622561,0.801192
1.450000,1.000000,0.624349,0.801435
1.460000,1.000000,0.626123,0.801683
1.470000,1.000000,0.627881,0.801935
1.480000,1.000000,0.629624,0.802192
1.490000,1.000000,0.631352,0.802453
1.500000,1.000000,0.633066,0.802718
1.510000,1.000000,0.634765,0.802987
1.520000,1.000000,0.636450,0.803260
1.530000,1.000000,0.638121,0.803537
1.540000,1.000000,0.639778,0.803819
1.550000,1.000000,0.641421,0.804104
1.560000,1.000000,0.643051,0.804392
1.570000,1.000000,0.644667,0.804684
1.580000,1.000000,0.646270,0.804980
1.590000,1.000000,0.647860,0.805280
1.600000,1.000000,0.649438,0.805582
1.610000,1.000000,0.651002,0.805888
1.620000,1.000000,0.652554,0.806197
1.630000,1.000000,0.654094,0.806510
1.640000,1.000000,0.655621,0.806825
1.650000,1.000000,0.657136,0.807144
1.660000,1.000000,0.658639,0.807466
1.670000,1.000000,0.660131,0.807790
1.680000,1.000000,0.661611,0.808117
1.690000,1.000000,0.663079,0.808447
1.700000,1.000000,0.664536,0.808780
1.710000,1.000000,0.665982,0.809115
1.720000,1.000000,0.667417,0.809453
1.730000,1.000000,0.668841,0.809793
1.740000,1.000000,0.670253,0.810136
1.750000,1.000000,0.671656,0.810482
1.760000,1.000000,0.673047,0.810829
